frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
40640,-23077,-7,16687,6,16686.5002561161,5.53102930350672
40660,9665,0,16684,6,16684.4673867417,5.82177519372313
40680,14092,-2,16686,6,16685.97169995,5.97855869440955
40700,-22854,6,16686,6,16686.2473227159,6.33298424545056
40720,7226,-1,16684,7,16684.2588660663,6.62724755507518
40740,16138,-1,16686,7,16686.1671769282,6.97816768347895
40760,-22374,6,16686,7,16686.0774574279,7.25708503485559
40780,4735,5,16684,8,16684.3426534311,7.54910681285376
40800,18014,-3,16686,8,16686.2972708399,7.86825417917628
40820,-21627,-12,16686,8,16685.8780751909,8.26921295000316
40840,2196,-1,16684,9,16684.264679592,8.59518453935836
40860,19664,-5,16687,9,16686.5678105152,8.84960053830115
40880,-20659,-5,16686,9,16685.6708779704,9.25298199399793
40900,-361,6,16684,10,16684.4607231421,9.50516409807059
40920,21086,10,16687,10,16686.6454604909,9.75305440938889
40940,-19448,-20,16685,10,16685.3935063404,10.3378358281303
40960,-2886,-10,16685,11,16684.7178092635,10.560153678007
40980,22249,7,16687,11,16686.8326976978,11.0336620946425
41000,-18033,-14,16685,11,16685.2409635717,11.2384706546865
41020,-5362,6,16685,12,16684.7913426481,11.5189000600643
41040,23134,21,16687,12,16686.9004487041,11.8005375109304
41060,-16390,-12,16685,12,16685.1442129733,12.1437516083375
41080,-7766,-8,16685,12,16684.979664032,12.3271248802184
41100,23732,23,16687,13,16686.8423813102,12.6310416391771
41120,-14570,-12,16685,13,16684.7935054449,12.902220163842
41140,-10056,-11,16685,13,16685.1763332598,13.0198166269729
41160,24039,13,16687,13,16686.8407365239,13.3986903219587
41180,-12557,-2,16685,14,16684.5381817605,13.5686999797558
41200,-12228,-10,16686,14,16685.6716777274,13.7603210553706
41220,24049,25,16686,14,16686.4544225635,14.0606075115462
41240,-10399,-6,16684,14,16684.4673449358,14.2947317382576
41260,-14245,-12,16686,14,16685.7379884291,14.3310043453652
41280,23768,14,16687,14,16686.5458469903,14.4671047255705
41300,-8102,7,16685,15,16684.5892377947,14.551179210162
41320,-16098,-18,16686,15,16685.9579376016,14.6058067166367
41340,23188,19,16686,15,16686.0552009219,14.9506349154476
41360,-5711,9,16684,15,16684.4284860101,14.9932113544347
41380,-17748,-23,16686,15,16686.1541574493,14.9511003070217
41400,22318,8,16686,15,16685.7060393395,15.0769915377082
41420,-3221,3,16685,15,16684.5501308647,15.1909798611092
41440,-19202,-20,16686,15,16686.2840033756,15.1138824714027
41460,21175,10,16686,15,16685.6757437593,15.3387530050523
41480,-679,9,16685,15,16684.6129867705,15.3557584119525
41500,-20445,-21,16687,15,16686.6108679108,15.30070495976
41520,19791,1,16685,15,16685.4566761214,15.1315843106398
41540,1877,15,16685,15,16684.8343625159,15.1447765850969
41560,-21466,-20,16687,15,16686.6588038655,15.1519807131362
41580,18159,-1,16685,15,16685.0082465518,15.072813183531
41600,4440,22,16685,15,16684.9253481632,15.1443574475776
41620,-22231,-11,16687,15,16686.6427492753,14.9479075929125
41640,16316,-6,16685,15,16684.8073403872,14.9329556371972
41660,6958,25,16685,15,16685.1507626662,14.8463237900204
41680,-22773,-15,16687,15,16686.5600817709,14.7172653842562
41700,14278,-10,16685,15,16684.64686601,14.5654335832734
41720,9410,10,16685,14,16685.2144158834,14.4123072271366
41740,-23058,-3,16686,14,16686.4217078617,14.282959416294
41760,12094,-14,16685,14,16684.5393044287,13.9954303368099
41780,11770,10,16686,14,16685.6565823386,13.8667979698812
41800,-23092,-4,16686,14,16686.4729919663,13.7443258889123
41820,9773,-11,16684,13,16684.4390750271,13.4905656415187
41840,13984,18,16686,13,16685.7673285141,13.2542924945562
41860,-22869,-2,16686,13,16686.328956658,12.9100327386301
41880,7343,-16,16684,13,16684.1993872381,12.8862208385546
41900,16057,17,16686,12,16685.9130526439,12.4443683924697
41920,-22397,10,16686,12,16686.1387830896,12.2569037465881
41940,4845,-20,16684,12,16684.301197312,11.9032968778612
41960,17935,16,16686,12,16686.1652705332,11.781146385486
