frequency_hz,direct_i_int16,direct_q_int16,filtered_i_int16,filtered_q_int16,direct_iq_magnitude,filtered_iq_magnitude
50960,4267,-10998,1,-7,11796.7492556212,7.07106781186548
50980,4268,-10996,0,-7,11795.2465001796,7
51000,4265,-10996,0,-7,11794.1613097329,7
51020,4267,-10998,0,-7,11796.7492556212,7
51040,4267,-10995,0,-7,11793.9524333448,7
51060,4265,-10997,-1,-8,11795.0936410018,8.06225774829855
51080,4267,-10998,-1,-7,11796.7492556212,7.07106781186548
51100,4267,-10995,-1,-7,11793.9524333448,7.07106781186548
51120,4265,-10997,-1,-7,11795.0936410018,7.07106781186548
51140,4268,-10998,-2,-7,11797.1110022751,7.28010988928052
51160,4267,-10995,-2,-8,11793.9524333448,8.24621125123532
51180,4265,-10997,-2,-7,11795.0936410018,7.28010988928052
51200,4268,-10997,-2,-7,11796.1787456786,7.28010988928052
51220,4266,-10995,-2,-7,11793.5906745995,7.28010988928052
51240,4265,-10998,-3,-7,11796.0259833556,7.61577310586391
51260,4268,-10997,-3,-7,11796.1787456786,7.61577310586391
51280,4266,-10995,-3,-7,11793.5906745995,7.61577310586391
51300,4266,-10998,-3,-7,11796.3875826458,7.61577310586391
51320,4268,-10997,-4,-7,11796.1787456786,8.06225774829855
51340,4266,-10995,-4,-7,11793.5906745995,8.06225774829855
51360,4266,-10998,-4,-6,11796.3875826458,7.21110255092798
51380,4268,-10996,-4,-6,11795.2465001796,7.21110255092798
51400,4265,-10996,-4,-6,11794.1613097329,7.21110255092798
51420,4266,-10998,-4,-6,11796.3875826458,7.21110255092798
51440,4268,-10996,-5,-6,11795.2465001796,7.81024967590665
51460,4265,-10996,-5,-5,11794.1613097329,7.07106781186548
51480,4266,-10998,-5,-5,11796.3875826458,7.07106781186548
51500,4268,-10996,-5,-5,11795.2465001796,7.07106781186548
51520,4265,-10996,-5,-5,11794.1613097329,7.07106781186548
51540,4267,-10998,-5,-4,11796.7492556212,6.40312423743285
51560,4268,-10996,-5,-4,11795.2465001796,6.40312423743285
51580,4265,-10996,-5,-4,11794.1613097329,6.40312423743285
51600,4267,-10998,-5,-4,11796.7492556212,6.40312423743285
51620,4267,-10995,-5,-3,11793.9524333448,5.8309518948453
51640,4265,-10997,-5,-3,11795.0936410018,5.8309518948453
51660,4267,-10998,-5,-3,11796.7492556212,5.8309518948453
51680,4267,-10995,-5,-3,11793.9524333448,5.8309518948453
51700,4265,-10997,-5,-2,11795.0936410018,5.3851648071345
51720,4268,-10998,-5,-2,11797.1110022751,5.3851648071345
51740,4267,-10995,-5,-2,11793.9524333448,5.3851648071345
51760,4265,-10997,-5,-2,11795.0936410018,5.3851648071345
51780,4268,-10997,-5,-2,11796.1787456786,5.3851648071345
51800,4266,-10995,-4,-1,11793.5906745995,4.12310562561766
51820,4265,-10998,-4,-1,11796.0259833556,4.12310562561766
51840,4268,-10997,-4,-1,11796.1787456786,4.12310562561766
51860,4266,-10995,-4,-1,11793.5906745995,4.12310562561766
51880,4266,-10998,-4,-1,11796.3875826458,4.12310562561766
51900,4268,-10997,-4,-1,11796.1787456786,4.12310562561766
51920,4266,-10996,-3,0,11794.5229661907,3
51940,4266,-10998,-3,0,11796.3875826458,3
51960,4268,-10997,-3,0,11796.1787456786,3
51980,4266,-10996,-3,0,11794.5229661907,3
52000,4266,-10998,-2,0,11796.3875826458,2
52020,4268,-10996,-2,0,11795.2465001796,2
52040,4265,-10996,-2,0,11794.1613097329,2
52060,4267,-10998,-2,0,11796.7492556212,2
52080,4268,-10996,-2,0,11795.2465001796,2
52100,4265,-10996,-1,0,11794.1613097329,1
52120,4267,-10998,-1,0,11796.7492556212,1
52140,4267,-10996,-1,0,11794.8846963419,1
52160,4265,-10996,0,0,11794.1613097329,0
52180,4267,-10998,0,0,11796.7492556212,0
52200,4267,-10995,0,0,11793.9524333448,0
52220,4265,-10997,0,0,11795.0936410018,0
52240,4267,-10998,0,0,11796.7492556212,0
52260,4267,-10995,1,0,11793.9524333448,1
52280,4265,-10997,1,0,11795.0936410018,1
52300,4268,-10998,1,-1,11797.1110022751,1.4142135623731
52320,4267,-10995,1,-1,11793.9524333448,1.4142135623731
52340,4265,-10997,1,-1,11795.0936410018,1.4142135623731
52360,4268,-10997,1,-1,11796.1787456786,1.4142135623731
52380,4266,-10995,2,-1,11793.5906745995,2.23606797749979
52400,4265,-10997,2,-1,11795.0936410018,2.23606797749979
52420,4268,-10997,2,-2,11796.1787456786,2.82842712474619
52440,4266,-10995,2,-2,11793.5906745995,2.82842712474619
52460,4266,-10998,2,-2,11796.3875826458,2.82842712474619
52480,4268,-10997,2,-2,11796.1787456786,2.82842712474619
52500,4266,-10995,2,-2,11793.5906745995,2.82842712474619
52520,4266,-10998,2,-3,11796.3875826458,3.60555127546399
52540,4268,-10996,2,-3,11795.2465001796,3.60555127546399
52560,4265,-10996,3,-3,11794.1613097329,4.24264068711928
52580,4266,-10998,2,-3,11796.3875826458,3.60555127546399
52600,4268,-10996,2,-4,11795.2465001796,4.47213595499958
52620,4265,-10996,2,-4,11794.1613097329,4.47213595499958
52640,4266,-10998,2,-4,11796.3875826458,4.47213595499958
52660,4268,-10996,2,-4,11795.2465001796,4.47213595499958
52680,4265,-10996,2,-5,11794.1613097329,5.3851648071345
52700,4267,-10998,2,-5,11796.7492556212,5.3851648071345
52720,4268,-10996,2,-5,11795.2465001796,5.3851648071345
52740,4265,-10996,2,-5,11794.1613097329,5.3851648071345
52760,4267,-10998,2,-6,11796.7492556212,6.32455532033676
52780,4267,-10995,2,-6,11793.9524333448,6.32455532033676
52800,4265,-10997,2,-6,11795.0936410018,6.32455532033676
52820,4267,-10998,1,-6,11796.7492556212,6.08276253029822
52840,4267,-10995,1,-6,11793.9524333448,6.08276253029822
52860,4265,-10997,1,-6,11795.0936410018,6.08276253029822
52880,4267,-10998,1,-7,11796.7492556212,7.07106781186548
52900,4267,-10995,1,-7,11793.9524333448,7.07106781186548
52920,4265,-10997,1,-7,11795.0936410018,7.07106781186548
52940,4268,-10998,0,-7,11797.1110022751,7
52960,4266,-10995,0,-7,11793.5906745995,7
52980,4265,-10998,0,-7,11796.0259833556,7
53000,4268,-10997,0,-7,11796.1787456786,7
53020,4266,-10995,-1,-7,11793.5906745995,7.07106781186548
